app_id,is_free,,,
29800,0,,,
29900,0,,,
31100,0,,,
31170,0,,,
31180,0,,,
31190,0,,,
31200,0,,,
31210,0,,,
31220,0,,,
31230,0,,,
31240,0,,,
31250,0,,,
31260,0,,,
31270,0,,,
31280,0,,,
31290,0,,,
31300,0,,,
31500,1,,,
31700,0,,,
31710,1,,,
31800,0,,,
31810,0,,,
31820,0,,,
31830,0,,,
31840,0,,,
31850,0,,,
31860,0,,,
31870,0,,,
31880,0,,,
31890,0,,,
31900,0,,,
31910,0,,,
31920,0,,,
31930,0,,,
31940,1,,,
31950,1,,,
31960,1,,,
31970,1,,,
31990,1,,,
32000,0,,,
32010,1,,,
32110,0,,,
32117,1,,,
32120,0,,,
32127,1,,,
32140,0,,,
32150,0,,,
32160,0,,,
32162,1,,,
32200,0,,,
32210,1,,,
32310,0,,,
32330,0,,,
32340,0,,,
32350,0,,,
32360,0,,,
32370,0,,,
32380,0,,,
32390,0,,,
32400,0,,,
32410,0,,,
32420,0,,,
32430,0,,,
32440,0,,,
32450,0,,,
32470,0,,,
32500,0,,,
32510,0,,,
32610,0,,,
32620,0,,,
32630,0,,,
32640,0,,,
32650,0,,,
32660,0,,,
32680,0,,,
32710,0,,,
32720,0,,,
32730,0,,,
32740,0,,,
32750,0,,,
32760,0,,,
32770,0,,,
32900,0,,,
33100,0,,,
33110,0,,,
33120,0,,,
33130,0,,,
33140,1,,,
33150,1,,,
33160,1,,,
33170,1,,,
33180,0,,,
33190,1,,,
33220,0,,,
33230,0,,,
33290,1,,,
33320,0,,,
33390,0,,,
33400,1,,,
33460,0,,,
33520,0,,,
33540,0,,,
33560,1,,,
33570,0,,,
33580,0,,,
33600,0,,,
33610,0,,,
33620,0,,,
33650,0,,,
33660,0,,,
33670,0,,,
33680,0,,,
33730,0,,,
33750,0,,,
33760,0,,,
33770,0,,,
33790,0,,,
33900,0,,,
33930,0,,,
33950,0,,,
33970,1,,,
33980,0,,,
33990,0,,,
34010,0,,,
34030,0,,,
34050,1,,,
34110,1,,,
34190,0,,,
34200,1,,,
34220,0,,,
34270,0,,,
34272,0,,,
34273,0,,,
34274,0,,,
34275,0,,,
34276,0,,,
34277,0,,,
34278,0,,,
34279,0,,,
34280,0,,,
34281,0,,,
34282,0,,,
34283,0,,,
34284,0,,,
34285,0,,,
34286,0,,,
34287,0,,,
34288,0,,,
34289,0,,,
34310,0,,,
34311,0,,,
34312,0,,,
34313,0,,,
34314,0,,,
34315,0,,,
34316,0,,,
34317,0,,,
34318,0,,,
34319,0,,,
34330,0,,,
34350,1,,,
34400,1,,,
34410,0,,,
34420,0,,,
34500,0,,,
34510,1,,,
